hhid,adoption,household_size,gender,age,land_holding,crop_land_size,credit,extension,training,married,widow,single,primary,secondary,post_secondary,no_formal_education,main_livelihood_source,off_farm,purchase_decision_woman,purchase_decision_joint,county_kisumu,county_migori,county_siaya,county_vihiga
61,1,9,0,64,1,.75,0,1,1,0,1,0,1,0,0,0,2,1,1,0,0,0,0,1
62,0,4,0,38,2,.75,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
63,0,6,0,40,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
64,0,3,0,42,1.5,1.5,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
65,0,4,0,42,1.5,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
66,0,6,0,54,2,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
67,0,4,0,55,4,3.5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
68,0,6,0,40,1.5,1.5,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
69,0,3,0,42,1,.5,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
70,0,6,0,42,3,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0
71,0,4,0,43,.5,.5,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
72,0,4,0,45,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
73,0,14,0,46,1.5,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
74,0,7,0,47,2,.75,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
75,0,4,0,48,3,3,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
76,0,5,0,51,1.5,1.5,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
77,0,8,0,56,4,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
78,0,8,0,37,2,1.5,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
79,0,6,0,49,2,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0
80,0,7,0,58,3,2.5,0,0,0,1,0,0,1,0,0,0,3,1,1,0,0,1,0,0
81,0,5,0,61,4,.75,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0
82,0,5,0,62,1.5,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
83,0,5,0,65,8,5,0,1,1,0,1,0,0,1,0,0,3,1,0,1,0,1,0,0
84,0,7,0,37,1,.75,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0
85,0,6,0,43,2,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
86,0,6,0,49,3,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
87,0,7,0,49,3,2,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
88,0,7,0,52,3,.1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
89,0,11,0,55,2.5,2,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
90,0,5,0,56,4,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
91,0,8,0,58,4,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0
92,0,8,0,63,5,2,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0
93,0,7,0,64,2,1.5,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
94,0,10,0,41,2,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1
95,0,6,0,42,2,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1
96,0,7,0,53,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
97,0,5,0,53,.5,1.25,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
98,0,5,0,57,1,.5,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
99,0,5,0,60,1,.5,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1
100,0,6,0,40,1.5,1.3,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
101,0,6,0,48,1,.5,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
102,0,3,0,48,.25,.25,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
103,0,8,0,45,2,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
104,0,8,0,48,2,1.75,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
105,0,5,0,59,2.5,2.25,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
106,0,5,0,56,5,3,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0
107,0,5,0,57,2,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
108,0,4,0,38,.25,.25,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
109,0,11,0,61,3.75,.125,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
110,0,7,0,49,2,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
111,0,11,0,50,3,2,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
112,0,6,0,49,3,3,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
113,0,3,0,61,.8,.8,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0
114,0,4,0,60,1,.25,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
115,0,15,0,63,2,.25,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
116,0,4,0,65,12,2,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,0
117,0,4,0,40,.75,.75,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0
118,0,4,0,53,.75,.75,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
119,0,3,0,57,5,3,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
120,0,4,0,63,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
121,0,3,0,69,.5,.5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
122,0,4,0,70,.4,.4,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0
123,0,3,0,73,.5,.5,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
124,0,5,0,45,1.5,.5,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
125,0,7,0,55,1.5,1.5,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
126,0,9,0,47,.75,.5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
127,0,4,0,49,2,1.5,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
128,0,5,0,56,1,.75,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
